Species_std,Antibiotic,n_tested,n_R,pct_R,ci_low,ci_up,n_tested_exclI,n_R_exclI,pct_R_exclI,ci_low_exclI,ci_up_exclI,diff_pct_R
Enterobacter spp.,IPM,997,409,41.02,38.01,44.11,971,409,42.12,39.05,45.25,1.0999999999999943
Enterobacter spp.,GEN,997,177,17.75,15.51,20.25,981,177,18.04,15.76,20.57,0.28999999999999915
Enterobacter spp.,AN,997,169,16.95,14.75,19.41,980,169,17.24,15.01,19.74,0.28999999999999915
Enterobacter spp.,Acide nalidixique,997,64,6.42,5.06,8.11,976,64,6.56,5.17,8.29,0.13999999999999968
Enterobacter spp.,ofx,997,68,6.82,5.42,8.56,977,68,6.96,5.53,8.73,0.13999999999999968
Enterobacter spp.,CIP,997,72,7.22,5.77,9.0,975,72,7.38,5.91,9.2,0.16000000000000014
Enterobacter spp.,C,997,70,7.02,5.59,8.78,975,70,7.18,5.72,8.97,0.16000000000000014
Enterobacter spp.,Co-trimoxazole,997,66,6.62,5.24,8.34,977,66,6.76,5.34,8.5,0.13999999999999968
Enterobacter spp.,Furanes,997,54,5.42,4.17,7.0,976,54,5.53,4.27,7.15,0.11000000000000032
Enterobacter spp.,colistine,997,61,6.12,4.79,7.78,972,61,6.28,4.92,7.98,0.16000000000000014
Proteus mirabilis,AMX/AMP,742,249,33.56,30.25,37.03,733,249,33.97,30.63,37.47,0.4099999999999966
Proteus mirabilis,AMC,742,278,37.47,34.06,41.01,731,278,38.03,34.58,41.6,0.5600000000000023
Proteus mirabilis,CZ,742,260,35.04,31.69,38.54,734,260,35.42,32.05,38.95,0.38000000000000256
Proteus mirabilis,FOX,742,281,37.87,34.45,41.41,735,281,38.23,34.79,41.8,0.35999999999999943
Proteus mirabilis,CTX/CRO,742,259,34.91,31.56,38.41,730,259,35.48,32.09,39.02,0.5700000000000003
Proteus mirabilis,IPM,742,248,33.42,30.12,36.9,729,248,34.02,30.67,37.53,0.6000000000000014
Proteus mirabilis,GEN,742,146,19.68,16.98,22.69,735,146,19.86,17.14,22.9,0.17999999999999972
Proteus mirabilis,AN,742,133,17.92,15.33,20.85,736,133,18.07,15.46,21.01,0.14999999999999858
Proteus mirabilis,Acide nalidixique,742,95,12.8,10.59,15.4,733,95,12.96,10.72,15.59,0.16000000000000014
Proteus mirabilis,ofx,742,88,11.86,9.73,14.38,730,88,12.05,9.89,14.62,0.19000000000000128
Proteus mirabilis,CIP,742,92,12.4,10.22,14.97,734,92,12.53,10.33,15.13,0.129999999999999
Proteus mirabilis,C,742,56,7.55,5.86,9.67,733,56,7.64,5.93,9.79,0.08999999999999986
Proteus mirabilis,Co-trimoxazole,742,41,5.53,4.1,7.41,737,41,5.56,4.13,7.46,0.02999999999999936
Proteus mirabilis,Furanes,742,41,5.53,4.1,7.41,732,41,5.6,4.16,7.51,0.0699999999999994
Proteus mirabilis,colistine,742,42,5.66,4.21,7.56,728,42,5.77,4.3,7.71,0.10999999999999943
Klebsiella pneumoniae,AMX/AMP,702,403,57.41,53.72,61.02,685,403,58.83,55.11,62.46,1.4200000000000017
Klebsiella pneumoniae,AMC,702,398,56.7,53.0,60.31,691,398,57.6,53.88,61.23,0.8999999999999986
Klebsiella pneumoniae,CZ,702,383,54.56,50.86,58.21,693,383,55.27,51.55,58.93,0.7100000000000009
Klebsiella pneumoniae,FOX,702,399,56.84,53.15,60.45,687,399,58.08,54.35,61.71,1.2399999999999949
Klebsiella pneumoniae,CTX/CRO,702,419,59.69,56.01,63.25,691,419,60.64,56.94,64.21,0.9500000000000028
Klebsiella pneumoniae,IPM,702,390,55.56,51.86,59.19,690,390,56.52,52.8,60.17,0.9600000000000009
Klebsiella pneumoniae,GEN,702,202,28.77,25.55,32.23,684,202,29.53,26.24,33.06,0.7600000000000016
Klebsiella pneumoniae,AN,702,204,29.06,25.82,32.53,689,204,29.61,26.32,33.12,0.5500000000000007
Klebsiella pneumoniae,Acide nalidixique,702,32,4.56,3.25,6.36,690,32,4.64,3.3,6.47,0.08000000000000007
Klebsiella pneumoniae,ofx,702,43,6.13,4.58,8.15,690,43,6.23,4.66,8.29,0.10000000000000053
Klebsiella pneumoniae,CIP,702,55,7.83,6.07,10.06,693,55,7.94,6.15,10.19,0.11000000000000032
Klebsiella pneumoniae,C,702,49,6.98,5.32,9.11,695,49,7.05,5.37,9.2,0.0699999999999994
Klebsiella pneumoniae,Co-trimoxazole,702,36,5.13,3.73,7.02,692,36,5.2,3.78,7.12,0.07000000000000028
Klebsiella pneumoniae,Furanes,702,46,6.55,4.95,8.63,693,46,6.64,5.01,8.74,0.08999999999999986
Klebsiella pneumoniae,colistine,702,34,4.84,3.49,6.69,689,34,4.93,3.55,6.82,0.08999999999999986
Citrobacter spp.,AMX/AMP,481,221,45.95,41.54,50.41,475,221,46.53,42.09,51.02,0.5799999999999983
Citrobacter spp.,AMC,481,226,46.99,42.57,51.45,474,226,47.68,43.22,52.18,0.6899999999999977
Citrobacter spp.,CZ,481,226,46.99,42.57,51.45,477,226,47.38,42.94,51.86,0.39000000000000057
Citrobacter spp.,FOX,481,221,45.95,41.54,50.41,474,221,46.62,42.18,51.12,0.6699999999999946
Citrobacter spp.,CTX/CRO,481,211,43.87,39.5,48.33,475,211,44.42,40.02,48.92,0.5500000000000043
Citrobacter spp.,IPM,481,213,44.28,39.91,48.75,478,213,44.56,40.17,49.04,0.28000000000000114
Citrobacter spp.,GEN,481,73,15.18,12.25,18.66,474,73,15.4,12.43,18.93,0.22000000000000064
Citrobacter spp.,AN,481,78,16.22,13.19,19.78,476,78,16.39,13.33,19.98,0.1700000000000017
Citrobacter spp.,Acide nalidixique,481,26,5.41,3.72,7.8,475,26,5.47,3.76,7.9,0.05999999999999961
Citrobacter spp.,ofx,481,24,4.99,3.38,7.32,477,24,5.03,3.4,7.38,0.040000000000000036
Citrobacter spp.,CIP,481,28,5.82,4.06,8.28,475,28,5.89,4.11,8.39,0.0699999999999994
Citrobacter spp.,C,481,22,4.57,3.04,6.83,474,22,4.64,3.08,6.93,0.0699999999999994
Citrobacter spp.,Co-trimoxazole,481,43,8.94,6.7,11.83,477,43,9.01,6.76,11.92,0.07000000000000028
Citrobacter spp.,Furanes,481,39,8.11,5.99,10.89,476,39,8.19,6.05,11.0,0.08000000000000007
Citrobacter spp.,colistine,481,31,6.44,4.58,9.0,475,31,6.53,4.64,9.11,0.08999999999999986
Morganella morganii,AMX/AMP,305,61,20.0,15.9,24.85,300,61,20.33,16.17,25.25,0.3299999999999983
Morganella morganii,AMC,305,84,27.54,22.83,32.81,302,84,27.81,23.06,33.12,0.2699999999999996
Morganella morganii,CZ,305,77,25.25,20.7,30.41,303,77,25.41,20.84,30.6,0.16000000000000014
Morganella morganii,FOX,305,82,26.89,22.22,32.13,305,82,26.89,22.22,32.13,0.0
Morganella morganii,CTX/CRO,305,83,27.21,22.52,32.47,302,83,27.48,22.75,32.78,0.2699999999999996
Morganella morganii,IPM,305,64,20.98,16.79,25.9,303,64,21.12,16.9,26.07,0.14000000000000057
Morganella morganii,GEN,305,45,14.75,11.21,19.17,303,45,14.85,11.29,19.29,0.09999999999999964
Morganella morganii,AN,305,54,17.7,13.83,22.38,300,54,18.0,14.07,22.74,0.3000000000000007
Morganella morganii,Acide nalidixique,305,39,12.79,9.5,17.0,300,39,13.0,9.66,17.28,0.21000000000000085
Morganella morganii,ofx,305,48,15.74,12.08,20.25,302,48,15.89,12.2,20.44,0.15000000000000036
Morganella morganii,CIP,305,38,12.46,9.21,16.64,301,38,12.62,9.34,16.85,0.15999999999999837
Morganella morganii,C,305,14,4.59,2.75,7.56,301,14,4.65,2.79,7.65,0.0600000000000005
Morganella morganii,Co-trimoxazole,305,19,6.23,4.02,9.52,303,19,6.27,4.05,9.59,0.03999999999999915
Morganella morganii,Furanes,305,24,7.87,5.34,11.44,301,24,7.97,5.42,11.59,0.09999999999999964
Morganella morganii,colistine,305,16,5.25,3.25,8.35,301,16,5.32,3.3,8.46,0.07000000000000028
Serratia marcescens,AMX/AMP,256,40,15.62,11.69,20.58,250,40,16.0,11.98,21.05,0.3800000000000008
Serratia marcescens,AMC,256,51,19.92,15.49,25.24,254,51,20.08,15.61,25.43,0.1599999999999966
Serratia marcescens,CZ,256,48,18.75,14.44,23.98,253,48,18.97,14.62,24.25,0.21999999999999886
Serratia marcescens,FOX,256,37,14.45,10.67,19.29,253,37,14.62,10.8,19.51,0.16999999999999993
Serratia marcescens,CTX/CRO,256,44,17.19,13.06,22.29,251,44,17.53,13.33,22.71,0.33999999999999986
Serratia marcescens,IPM,256,45,17.58,13.4,22.71,251,45,17.93,13.68,23.15,0.3500000000000014
Serratia marcescens,GEN,256,93,36.33,30.68,42.38,254,93,36.61,30.93,42.7,0.28000000000000114
Serratia marcescens,AN,256,93,36.33,30.68,42.38,251,93,37.05,31.31,43.18,0.7199999999999989
Serratia marcescens,Acide nalidixique,256,19,7.42,4.8,11.3,252,19,7.54,4.88,11.47,0.1200000000000001
Serratia marcescens,ofx,256,19,7.42,4.8,11.3,255,19,7.45,4.82,11.34,0.03000000000000025
Serratia marcescens,CIP,256,11,4.3,2.42,7.53,251,11,4.38,2.46,7.68,0.08000000000000007
Serratia marcescens,C,256,5,1.95,0.84,4.49,252,5,1.98,0.85,4.56,0.030000000000000027
Serratia marcescens,Co-trimoxazole,256,18,7.03,4.49,10.84,254,18,7.09,4.53,10.92,0.05999999999999961
Serratia marcescens,Furanes,256,11,4.3,2.42,7.53,253,11,4.35,2.44,7.62,0.04999999999999982
Serratia marcescens,colistine,256,27,10.55,7.35,14.91,253,27,10.67,7.44,15.08,0.11999999999999922
Pseudomonas aeruginosa,AMX/AMP,200,72,36.0,29.67,42.86,197,72,36.55,30.14,43.47,0.5499999999999972
Pseudomonas aeruginosa,AMC,200,65,32.5,26.39,39.27,193,65,33.68,27.39,40.61,1.1799999999999997
Pseudomonas aeruginosa,CZ,200,67,33.5,27.32,40.3,193,67,34.72,28.36,41.67,1.2199999999999989
Pseudomonas aeruginosa,FOX,200,65,32.5,26.39,39.27,197,65,32.99,26.81,39.83,0.490000000000002
Pseudomonas aeruginosa,CTX/CRO,200,72,36.0,29.67,42.86,197,72,36.55,30.14,43.47,0.5499999999999972
Pseudomonas aeruginosa,IPM,200,67,33.5,27.32,40.3,197,67,34.01,27.76,40.88,0.509999999999998
Pseudomonas aeruginosa,GEN,200,42,21.0,15.93,27.16,193,42,21.76,16.52,28.1,0.7600000000000016
Pseudomonas aeruginosa,AN,200,47,23.5,18.16,29.84,197,47,23.86,18.44,30.27,0.35999999999999943
Pseudomonas aeruginosa,Acide nalidixique,200,13,6.5,3.84,10.8,192,13,6.77,4.0,11.24,0.2699999999999996
Pseudomonas aeruginosa,ofx,200,16,8.0,4.98,12.6,196,16,8.16,5.09,12.85,0.16000000000000014
Pseudomonas aeruginosa,CIP,200,15,7.5,4.6,12.0,196,15,7.65,4.69,12.24,0.15000000000000036
Pseudomonas aeruginosa,C,200,19,9.5,6.17,14.36,196,19,9.69,6.29,14.64,0.1899999999999995
Pseudomonas aeruginosa,Co-trimoxazole,200,22,11.0,7.38,16.09,195,22,11.28,7.57,16.49,0.27999999999999936
Pseudomonas aeruginosa,Furanes,200,20,10.0,6.57,14.94,196,20,10.2,6.7,15.24,0.1999999999999993
Pseudomonas aeruginosa,colistine,200,26,13.0,9.03,18.37,195,26,13.33,9.26,18.82,0.33000000000000007
Acinetobacter baumannii,AMX/AMP,181,56,30.94,24.66,38.01,176,56,31.82,25.39,39.03,0.879999999999999
Acinetobacter baumannii,AMC,181,71,39.23,32.41,46.49,179,71,39.66,32.79,46.98,0.4299999999999997
Acinetobacter baumannii,CZ,181,58,32.04,25.68,39.16,178,58,32.58,26.13,39.77,0.5399999999999991
Acinetobacter baumannii,FOX,181,57,31.49,25.17,38.58,177,57,32.2,25.76,39.4,0.7100000000000044
Acinetobacter baumannii,CTX/CRO,181,71,39.23,32.41,46.49,177,71,40.11,33.18,47.47,0.8800000000000026
Acinetobacter baumannii,IPM,181,61,33.7,27.22,40.86,177,61,34.46,27.86,41.73,0.759999999999998
Acinetobacter baumannii,GEN,181,31,17.13,12.34,23.28,178,31,17.42,12.55,23.66,0.2900000000000027
Acinetobacter baumannii,AN,181,31,17.13,12.34,23.28,176,31,17.61,12.7,23.92,0.4800000000000004
Acinetobacter baumannii,Acide nalidixique,181,9,4.97,2.64,9.18,178,9,5.06,2.68,9.33,0.08999999999999986
Acinetobacter baumannii,ofx,181,17,9.39,5.95,14.53,176,17,9.66,6.12,14.92,0.2699999999999996
Acinetobacter baumannii,CIP,181,14,7.73,4.66,12.56,176,14,7.95,4.8,12.91,0.21999999999999975
Acinetobacter baumannii,C,181,24,13.26,9.07,18.97,176,24,13.64,9.34,19.49,0.3800000000000008
Acinetobacter baumannii,Co-trimoxazole,181,18,9.94,6.38,15.17,177,18,10.17,6.53,15.5,0.23000000000000043
Acinetobacter baumannii,Furanes,181,19,10.5,6.82,15.81,179,19,10.61,6.9,15.98,0.10999999999999943
Acinetobacter baumannii,colistine,181,26,14.36,10.0,20.22,177,26,14.69,10.23,20.65,0.33000000000000007
