Species_std,Antibiotic,n_tested,n_R,pct_R,ci_low,ci_up
Morganella morganii,AMC,305,84,27.54,22.83,32.81
Morganella morganii,CZ,305,77,25.25,20.7,30.41
Morganella morganii,FOX,305,82,26.89,22.22,32.13
Morganella morganii,CTX/CRO,305,83,27.21,22.52,32.47
Morganella morganii,IPM,305,64,20.98,16.79,25.9
Morganella morganii,GEN,305,45,14.75,11.21,19.17
Morganella morganii,AN,305,54,17.7,13.83,22.38
Morganella morganii,Acide nalidixique,305,39,12.79,9.5,17.0
Morganella morganii,ofx,305,48,15.74,12.08,20.25
Morganella morganii,CIP,305,38,12.46,9.21,16.64
Morganella morganii,C,305,14,4.59,2.75,7.56
Morganella morganii,Co-trimoxazole,305,19,6.23,4.02,9.52
Morganella morganii,Furanes,305,24,7.87,5.34,11.44
Morganella morganii,colistine,305,16,5.25,3.25,8.35
Serratia marcescens,AMX/AMP,256,40,15.62,11.69,20.58
Serratia marcescens,AMC,256,51,19.92,15.49,25.24
Serratia marcescens,CZ,256,48,18.75,14.44,23.98
Serratia marcescens,FOX,256,37,14.45,10.67,19.29
Serratia marcescens,CTX/CRO,256,44,17.19,13.06,22.29
Serratia marcescens,IPM,256,45,17.58,13.4,22.71
Serratia marcescens,GEN,256,93,36.33,30.68,42.38
Serratia marcescens,AN,256,93,36.33,30.68,42.38
Serratia marcescens,Acide nalidixique,256,19,7.42,4.8,11.3
Serratia marcescens,ofx,256,19,7.42,4.8,11.3
Serratia marcescens,CIP,256,11,4.3,2.42,7.53
Serratia marcescens,C,256,5,1.95,0.84,4.49
Serratia marcescens,Co-trimoxazole,256,18,7.03,4.49,10.84
Serratia marcescens,Furanes,256,11,4.3,2.42,7.53
Serratia marcescens,colistine,256,27,10.55,7.35,14.91
Pseudomonas aeruginosa,AMX/AMP,200,72,36.0,29.67,42.86
Pseudomonas aeruginosa,AMC,200,65,32.5,26.39,39.27
Pseudomonas aeruginosa,CZ,200,67,33.5,27.32,40.3
Pseudomonas aeruginosa,FOX,200,65,32.5,26.39,39.27
Pseudomonas aeruginosa,CTX/CRO,200,72,36.0,29.67,42.86
Pseudomonas aeruginosa,IPM,200,67,33.5,27.32,40.3
Pseudomonas aeruginosa,GEN,200,42,21.0,15.93,27.16
Pseudomonas aeruginosa,AN,200,47,23.5,18.16,29.84
Pseudomonas aeruginosa,Acide nalidixique,200,13,6.5,3.84,10.8
Pseudomonas aeruginosa,ofx,200,16,8.0,4.98,12.6
Pseudomonas aeruginosa,CIP,200,15,7.5,4.6,12.0
Pseudomonas aeruginosa,C,200,19,9.5,6.17,14.36
Pseudomonas aeruginosa,Co-trimoxazole,200,22,11.0,7.38,16.09
Pseudomonas aeruginosa,Furanes,200,20,10.0,6.57,14.94
Pseudomonas aeruginosa,colistine,200,26,13.0,9.03,18.37
Acinetobacter baumannii,AMX/AMP,181,56,30.94,24.66,38.01
Acinetobacter baumannii,AMC,181,71,39.23,32.41,46.49
Acinetobacter baumannii,CZ,181,58,32.04,25.68,39.16
Acinetobacter baumannii,FOX,181,57,31.49,25.17,38.58
Acinetobacter baumannii,CTX/CRO,181,71,39.23,32.41,46.49
Acinetobacter baumannii,IPM,181,61,33.7,27.22,40.86
Acinetobacter baumannii,GEN,181,31,17.13,12.34,23.28
Acinetobacter baumannii,AN,181,31,17.13,12.34,23.28
Acinetobacter baumannii,Acide nalidixique,181,9,4.97,2.64,9.18
Acinetobacter baumannii,ofx,181,17,9.39,5.95,14.53
Acinetobacter baumannii,CIP,181,14,7.73,4.66,12.56
Acinetobacter baumannii,C,181,24,13.26,9.07,18.97
Acinetobacter baumannii,Co-trimoxazole,181,18,9.94,6.38,15.17
Acinetobacter baumannii,Furanes,181,19,10.5,6.82,15.81
Acinetobacter baumannii,colistine,181,26,14.36,10.0,20.22
